,Code,age,sex,settlement,population.total,population.ed,population.not.ed,year,addressCod,addressCode
1,IR.AL,6,پسر,روستا,1914,1269,645,1390,30,30
2,IR.AR,6,پسر,روستا,3474,2740,734,1390,24,24
3,IR.BK,6,پسر,روستا,4583,3611,972,1390,5,05
4,IR.BS,6,پسر,روستا,2777,2103,674,1390,18,18
5,IR.CM,6,پسر,روستا,3431,2709,722,1390,14,14
6,IR.EA,6,پسر,روستا,9660,7349,2311,1390,3,03
7,IR.ES,6,پسر,روستا,5652,4184,1468,1390,10,10
8,IR.FA,6,پسر,روستا,12189,9281,2908,1390,7,07
9,IR.GI,6,پسر,روستا,6115,4775,1340,1390,1,01
10,IR.GO,6,پسر,روستا,8450,6326,2124,1390,27,27
11,IR.HD,6,پسر,روستا,5529,4319,1210,1390,13,13
12,IR.HG,6,پسر,روستا,7924,5817,2107,1390,22,22
13,IR.IL,6,پسر,روستا,1533,1154,379,1390,16,16
14,IR.KB,6,پسر,روستا,2916,2333,583,1390,17,17
15,IR.KD,6,پسر,روستا,4036,3255,781,1390,12,12
16,IR.KE,6,پسر,روستا,12166,8465,3701,1390,8,08
17,IR.KJ,6,پسر,روستا,2703,2097,606,1390,29,29
18,IR.KS,6,پسر,روستا,4084,3173,911,1390,28,28
19,IR.KV,6,پسر,روستا,16344,12337,4007,1390,9,09
20,IR.KZ,6,پسر,روستا,12773,9330,3443,1390,6,06
21,IR.LO,6,پسر,روستا,5609,4394,1215,1390,15,15
22,IR.MK,6,پسر,روستا,2582,1893,689,1390,0,00
23,IR.MN,6,پسر,روستا,9613,7430,2183,1390,2,02
24,IR.QM,6,پسر,روستا,419,305,114,1390,25,25
25,IR.QZ,6,پسر,روستا,2573,1873,700,1390,26,26
26,IR.SB,6,پسر,روستا,17509,10795,6714,1390,11,11
27,IR.SM,6,پسر,روستا,1113,730,383,1390,20,20
28,IR.TH,6,پسر,روستا,7547,5109,2438,1390,23,23
29,IR.WA,6,پسر,روستا,10776,8183,2593,1390,4,04
30,IR.YA,6,پسر,روستا,1356,990,366,1390,21,21
31,IR.ZA,6,پسر,روستا,3042,2443,599,1390,19,19
32,IR.AL,7,پسر,روستا,1874,1649,225,1390,30,30
33,IR.AR,7,پسر,روستا,3402,3277,125,1390,24,24
34,IR.BK,7,پسر,روستا,4457,4248,209,1390,5,05
35,IR.BS,7,پسر,روستا,2591,2485,106,1390,18,18
36,IR.CM,7,پسر,روستا,3346,3163,183,1390,14,14
37,IR.EA,7,پسر,روستا,9418,8900,518,1390,3,03
38,IR.ES,7,پسر,روستا,5137,4751,386,1390,10,10
39,IR.FA,7,پسر,روستا,11580,10988,592,1390,7,07
40,IR.GI,7,پسر,روستا,5748,5487,261,1390,1,01
41,IR.GO,7,پسر,روستا,7566,7205,361,1390,27,27
42,IR.HD,7,پسر,روستا,5221,5003,218,1390,13,13
43,IR.HG,7,پسر,روستا,7698,7158,540,1390,22,22
44,IR.IL,7,پسر,روستا,1447,1360,87,1390,16,16
45,IR.KB,7,پسر,روستا,2742,2638,104,1390,17,17
46,IR.KD,7,پسر,روستا,4395,4230,165,1390,12,12
47,IR.KE,7,پسر,روستا,11365,10289,1076,1390,8,08
48,IR.KJ,7,پسر,روستا,2670,2546,124,1390,29,29
49,IR.KS,7,پسر,روستا,3859,3694,165,1390,28,28
50,IR.KV,7,پسر,روستا,15575,14703,872,1390,9,09
51,IR.KZ,7,پسر,روستا,12458,11545,913,1390,6,06
52,IR.LO,7,پسر,روستا,5798,5435,363,1390,15,15
53,IR.MK,7,پسر,روستا,2469,2249,220,1390,0,00
54,IR.MN,7,پسر,روستا,8941,8573,368,1390,2,02
55,IR.QM,7,پسر,روستا,451,403,48,1390,25,25
56,IR.QZ,7,پسر,روستا,2451,2271,180,1390,26,26
57,IR.SB,7,پسر,روستا,16719,14025,2694,1390,11,11
58,IR.SM,7,پسر,روستا,1065,985,80,1390,20,20
59,IR.TH,7,پسر,روستا,7398,6702,696,1390,23,23
60,IR.WA,7,پسر,روستا,10575,10000,575,1390,4,04
61,IR.YA,7,پسر,روستا,1399,1267,132,1390,21,21
62,IR.ZA,7,پسر,روستا,2836,2682,154,1390,19,19
63,IR.AL,8,پسر,روستا,1783,1607,176,1390,30,30
64,IR.AR,8,پسر,روستا,3227,3092,135,1390,24,24
65,IR.BK,8,پسر,روستا,4177,3999,178,1390,5,05
66,IR.BS,8,پسر,روستا,2500,2399,101,1390,18,18
67,IR.CM,8,پسر,روستا,3243,3095,148,1390,14,14
68,IR.EA,8,پسر,روستا,9253,8781,472,1390,3,03
69,IR.ES,8,پسر,روستا,5077,4734,343,1390,10,10
70,IR.FA,8,پسر,روستا,11412,10897,515,1390,7,07
71,IR.GI,8,پسر,روستا,5970,5730,240,1390,1,01
72,IR.GO,8,پسر,روستا,6901,6622,279,1390,27,27
73,IR.HD,8,پسر,روستا,5147,4928,219,1390,13,13
74,IR.HG,8,پسر,روستا,7729,7252,477,1390,22,22
75,IR.IL,8,پسر,روستا,1352,1269,83,1390,16,16
76,IR.KB,8,پسر,روستا,2658,2560,98,1390,17,17
77,IR.KD,8,پسر,روستا,4121,4002,119,1390,12,12
78,IR.KE,8,پسر,روستا,11100,10220,880,1390,8,08
79,IR.KJ,8,پسر,روستا,2794,2663,131,1390,29,29
80,IR.KS,8,پسر,روستا,3726,3587,139,1390,28,28
81,IR.KV,8,پسر,روستا,15134,14385,749,1390,9,09
82,IR.KZ,8,پسر,روستا,12812,11940,872,1390,6,06
83,IR.LO,8,پسر,روستا,5625,5337,288,1390,15,15
84,IR.MK,8,پسر,روستا,2516,2319,197,1390,0,00
85,IR.MN,8,پسر,روستا,9156,8767,389,1390,2,02
86,IR.QM,8,پسر,روستا,366,336,30,1390,25,25
87,IR.QZ,8,پسر,روستا,2367,2231,136,1390,26,26
88,IR.SB,8,پسر,روستا,15866,13383,2483,1390,11,11
89,IR.SM,8,پسر,روستا,1020,958,62,1390,20,20
90,IR.TH,8,پسر,روستا,7220,6700,520,1390,23,23
91,IR.WA,8,پسر,روستا,9945,9456,489,1390,4,04
92,IR.YA,8,پسر,روستا,1370,1248,122,1390,21,21
93,IR.ZA,8,پسر,روستا,2947,2790,157,1390,19,19
94,IR.AL,9,پسر,روستا,1729,1579,150,1390,30,30
95,IR.AR,9,پسر,روستا,3289,3169,120,1390,24,24
96,IR.BK,9,پسر,روستا,4144,3991,153,1390,5,05
97,IR.BS,9,پسر,روستا,2500,2403,97,1390,18,18
98,IR.CM,9,پسر,روستا,3031,2892,139,1390,14,14
99,IR.EA,9,پسر,روستا,9325,8895,430,1390,3,03
100,IR.ES,9,پسر,روستا,4832,4511,321,1390,10,10
101,IR.FA,9,پسر,روستا,11139,10627,512,1390,7,07
102,IR.GI,9,پسر,روستا,5972,5752,220,1390,1,01
103,IR.GO,9,پسر,روستا,6863,6590,273,1390,27,27
104,IR.HD,9,پسر,روستا,5187,4956,231,1390,13,13
105,IR.HG,9,پسر,روستا,7543,7102,441,1390,22,22
106,IR.IL,9,پسر,روستا,1359,1263,96,1390,16,16
107,IR.KB,9,پسر,روستا,2653,2563,90,1390,17,17
