"","age","sex","settlement","year","province","populationtotal","populationnoted","populationed"
"1","10 ساله","پسر","روستا",1390,"آذربايجان شرقي",9093,416,8677
"2","11 ساله","پسر","روستا",1390,"آذربايجان شرقي",8776,545,8231
"3","12 ساله","پسر","روستا",1390,"آذربايجان شرقي",8891,734,8157
"4","13 ساله","پسر","روستا",1390,"آذربايجان شرقي",8819,929,7890
"5","14 ساله","پسر","روستا",1390,"آذربايجان شرقي",8774,1528,7246
"6","15 ساله","پسر","روستا",1390,"آذربايجان شرقي",9468,2455,7013
"7","16 ساله","پسر","روستا",1390,"آذربايجان شرقي",10215,3685,6530
"8","17 ساله","پسر","روستا",1390,"آذربايجان شرقي",11220,6134,5086
"9","18 ساله","پسر","روستا",1390,"آذربايجان شرقي",12533,8811,3722
"10","19 ساله","پسر","روستا",1390,"آذربايجان شرقي",12307,9572,2735
"11","6 ساله","پسر","روستا",1390,"آذربايجان شرقي",9660,2311,7349
"12","7 ساله","پسر","روستا",1390,"آذربايجان شرقي",9418,518,8900
"13","8 ساله","پسر","روستا",1390,"آذربايجان شرقي",9253,472,8781
"14","9 ساله","پسر","روستا",1390,"آذربايجان شرقي",9325,430,8895
"15","10 ساله","دختر","روستا",1390,"آذربايجان شرقي",8747,517,8230
"16","11 ساله","دختر","روستا",1390,"آذربايجان شرقي",8304,968,7336
"17","12 ساله","دختر","روستا",1390,"آذربايجان شرقي",8501,1414,7087
"18","13 ساله","دختر","روستا",1390,"آذربايجان شرقي",8412,2023,6389
"19","14 ساله","دختر","روستا",1390,"آذربايجان شرقي",8424,3283,5141
"20","15 ساله","دختر","روستا",1390,"آذربايجان شرقي",8820,4389,4431
"21","16 ساله","دختر","روستا",1390,"آذربايجان شرقي",9575,5427,4148
"22","17 ساله","دختر","روستا",1390,"آذربايجان شرقي",10369,7264,3105
"23","18 ساله","دختر","روستا",1390,"آذربايجان شرقي",10747,8764,1983
"24","19 ساله","دختر","روستا",1390,"آذربايجان شرقي",10631,8904,1727
"25","6 ساله","دختر","روستا",1390,"آذربايجان شرقي",9084,2138,6946
"26","7 ساله","دختر","روستا",1390,"آذربايجان شرقي",8781,496,8285
"27","8 ساله","دختر","روستا",1390,"آذربايجان شرقي",8841,420,8421
"28","9 ساله","دختر","روستا",1390,"آذربايجان شرقي",8864,473,8391
"29","10 ساله","پسر","شهر",1390,"آذربايجان شرقي",18933,581,18352
"30","11 ساله","پسر","شهر",1390,"آذربايجان شرقي",18135,506,17629
"31","12 ساله","پسر","شهر",1390,"آذربايجان شرقي",18087,504,17583
"32","13 ساله","پسر","شهر",1390,"آذربايجان شرقي",18080,605,17475
"33","14 ساله","پسر","شهر",1390,"آذربايجان شرقي",17806,929,16877
"34","15 ساله","پسر","شهر",1390,"آذربايجان شرقي",18063,1529,16534
"35","16 ساله","پسر","شهر",1390,"آذربايجان شرقي",18784,2508,16276
"36","17 ساله","پسر","شهر",1390,"آذربايجان شرقي",19580,5335,14245
"37","18 ساله","پسر","شهر",1390,"آذربايجان شرقي",20882,8760,12122
"38","19 ساله","پسر","شهر",1390,"آذربايجان شرقي",22627,10205,12422
"39","6 ساله","پسر","شهر",1390,"آذربايجان شرقي",17961,3851,14110
"40","7 ساله","پسر","شهر",1390,"آذربايجان شرقي",17311,681,16630
"41","8 ساله","پسر","شهر",1390,"آذربايجان شرقي",17156,591,16565
"42","9 ساله","پسر","شهر",1390,"آذربايجان شرقي",17290,573,16717
"43","10 ساله","دختر","شهر",1390,"آذربايجان شرقي",18178,534,17644
"44","11 ساله","دختر","شهر",1390,"آذربايجان شرقي",17246,499,16747
"45","12 ساله","دختر","شهر",1390,"آذربايجان شرقي",17260,528,16732
"46","13 ساله","دختر","شهر",1390,"آذربايجان شرقي",17234,713,16521
"47","14 ساله","دختر","شهر",1390,"آذربايجان شرقي",17270,1154,16116
"48","15 ساله","دختر","شهر",1390,"آذربايجان شرقي",17020,2031,14989
"49","16 ساله","دختر","شهر",1390,"آذربايجان شرقي",17890,3117,14773
"50","17 ساله","دختر","شهر",1390,"آذربايجان شرقي",19517,6341,13176
"51","18 ساله","دختر","شهر",1390,"آذربايجان شرقي",20673,10678,9995
"52","19 ساله","دختر","شهر",1390,"آذربايجان شرقي",21850,11179,10671
"53","6 ساله","دختر","شهر",1390,"آذربايجان شرقي",17108,3537,13571
"54","7 ساله","دختر","شهر",1390,"آذربايجان شرقي",16162,631,15531
"55","8 ساله","دختر","شهر",1390,"آذربايجان شرقي",16686,495,16191
"56","9 ساله","دختر","شهر",1390,"آذربايجان شرقي",16581,468,16113
"57","10 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"58","11 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"59","12 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"60","13 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"61","14 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"62","15 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"63","16 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"64","17 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"65","18 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"66","19 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"67","6 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"68","7 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"69","8 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"70","9 ساله","پسر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"71","10 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"72","11 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"73","12 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"74","13 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"75","14 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"76","15 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"77","16 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"78","17 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"79","18 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"80","19 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"81","6 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"82","7 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"83","8 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"84","9 ساله","دختر","غیرساکن",1390,"آذربايجان شرقي",0,0,0
"85","10 ساله","پسر","روستا",1390,"آذربايجان غربي",9766,505,9261
"86","11 ساله","پسر","روستا",1390,"آذربايجان غربي",9629,685,8944
"87","12 ساله","پسر","روستا",1390,"آذربايجان غربي",9721,1014,8707
"88","13 ساله","پسر","روستا",1390,"آذربايجان غربي",10179,1504,8675
"89","14 ساله","پسر","روستا",1390,"آذربايجان غربي",10595,2240,8355
"90","15 ساله","پسر","روستا",1390,"آذربايجان غربي",10739,3347,7392
"91","16 ساله","پسر","روستا",1390,"آذربايجان غربي",11818,5035,6783
"92","17 ساله","پسر","روستا",1390,"آذربايجان غربي",12662,7152,5510
"93","18 ساله","پسر","روستا",1390,"آذربايجان غربي",13856,9765,4091
"94","19 ساله","پسر","روستا",1390,"آذربايجان غربي",13834,10496,3338
"95","6 ساله","پسر","روستا",1390,"آذربايجان غربي",10776,2593,8183
"96","7 ساله","پسر","روستا",1390,"آذربايجان غربي",10575,575,10000
"97","8 ساله","پسر","روستا",1390,"آذربايجان غربي",9945,489,9456
"98","9 ساله","پسر","روستا",1390,"آذربايجان غربي",10060,528,9532
"99","10 ساله","دختر","روستا",1390,"آذربايجان غربي",9414,805,8609
"100","11 ساله","دختر","روستا",1390,"آذربايجان غربي",9179,1609,7570
"101","12 ساله","دختر","روستا",1390,"آذربايجان غربي",9571,2660,6911
"102","13 ساله","دختر","روستا",1390,"آذربايجان غربي",9990,3780,6210
"103","14 ساله","دختر","روستا",1390,"آذربايجان غربي",10019,4800,5219
"104","15 ساله","دختر","روستا",1390,"آذربايجان غربي",10166,6002,4164
"105","16 ساله","دختر","روستا",1390,"آذربايجان غربي",11596,7605,3991
"106","17 ساله","دختر","روستا",1390,"آذربايجان غربي",12340,9260,3080
"107","18 ساله","دختر","روستا",1390,"آذربايجان غربي",12847,10796,2051
"108","19 ساله","دختر","روستا",1390,"آذربايجان غربي",13118,11227,1891
"109","6 ساله","دختر","روستا",1390,"آذربايجان غربي",10162,2619,7543
"110","7 ساله","دختر","روستا",1390,"آذربايجان غربي",9837,607,9230
"111","8 ساله","دختر","روستا",1390,"آذربايجان غربي",9438,599,8839
"112","9 ساله","دختر","روستا",1390,"آذربايجان غربي",9701,664,9037
"113","10 ساله","پسر","شهر",1390,"آذربايجان غربي",16039,571,15468
"114","11 ساله","پسر","شهر",1390,"آذربايجان غربي",15448,492,14956
"115","12 ساله","پسر","شهر",1390,"آذربايجان غربي",15827,590,15237
"116","13 ساله","پسر","شهر",1390,"آذربايجان غربي",15812,799,15013
"117","14 ساله","پسر","شهر",1390,"آذربايجان غربي",16038,1160,14878
"118","15 ساله","پسر","شهر",1390,"آذربايجان غربي",15533,1910,13623
"119","16 ساله","پسر","شهر",1390,"آذربايجان غربي",16900,3157,13743
"120","17 ساله","پسر","شهر",1390,"آذربايجان غربي",17942,5584,12358
"121","18 ساله","پسر","شهر",1390,"آذربايجان غربي",18995,8671,10324
"122","19 ساله","پسر","شهر",1390,"آذربايجان غربي",19268,9638,9630
"123","6 ساله","پسر","شهر",1390,"آذربايجان غربي",15506,3431,12075
"124","7 ساله","پسر","شهر",1390,"آذربايجان غربي",14921,593,14328
"125","8 ساله","پسر","شهر",1390,"آذربايجان غربي",15009,500,14509
"126","9 ساله","پسر","شهر",1390,"آذربايجان غربي",14881,507,14374
"127","10 ساله","دختر","شهر",1390,"آذربايجان غربي",15473,622,14851
"128","11 ساله","دختر","شهر",1390,"آذربايجان غربي",14717,601,14116
"129","12 ساله","دختر","شهر",1390,"آذربايجان غربي",15089,883,14206
"130","13 ساله","دختر","شهر",1390,"آذربايجان غربي",15223,1167,14056
"131","14 ساله","دختر","شهر",1390,"آذربايجان غربي",15674,2015,13659
"132","15 ساله","دختر","شهر",1390,"آذربايجان غربي",14831,2873,11958
"133","16 ساله","دختر","شهر",1390,"آذربايجان غربي",16317,4277,12040
"134","17 ساله","دختر","شهر",1390,"آذربايجان غربي",17574,6791,10783
"135","18 ساله","دختر","شهر",1390,"آذربايجان غربي",18619,10528,8091
"136","19 ساله","دختر","شهر",1390,"آذربايجان غربي",19570,11163,8407
"137","6 ساله","دختر","شهر",1390,"آذربايجان غربي",14839,3346,11493
"138","7 ساله","دختر","شهر",1390,"آذربايجان غربي",13790,526,13264
"139","8 ساله","دختر","شهر",1390,"آذربايجان غربي",13996,472,13524
"140","9 ساله","دختر","شهر",1390,"آذربايجان غربي",14036,469,13567
"141","10 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"142","11 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"143","12 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"144","13 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"145","14 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"146","15 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"147","16 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"148","17 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"149","18 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"150","19 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"151","6 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"152","7 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"153","8 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"154","9 ساله","پسر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"155","10 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"156","11 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"157","12 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"158","13 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"159","14 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"160","15 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"161","16 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
"162","17 ساله","دختر","غیرساکن",1390,"آذربايجان غربي",0,0,0
